source_doc_id,entity,entity_type,source,method,confidence,evidence
163441,Doanh nghiệp bảo hiểm sức khỏe,DoiTuongApDung,content_clean,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,Doanh nghiệp tái bảo hiểm,DoiTuongApDung,content_clean,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,Đại lý bảo hiểm,DoiTuongApDung,content_clean,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,Doanh nghiệp môi giới bảo hiểm,DoiTuongApDung,content_clean,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,"Tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm",DoiTuongApDung,content_clean,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,Tổ chức tương hỗ cung cấp bảo hiểm vi mô,DoiTuongApDung,content_clean,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài,DoiTuongApDung,content_clean,gemini,1.0,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam); Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)."
163441,Chi nhánh doanh nghiệp tái bảo hiểm nước ngoài,DoiTuongApDung,content_clean,gemini,1.0,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam); Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)."
163441,Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài,DoiTuongApDung,content_clean,gemini,1.0,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam); Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)."
163441,Bên mua bảo hiểm,DoiTuongApDung,content_clean,gemini,1.0,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
163441,Người được bảo hiểm,DoiTuongApDung,content_clean,gemini,1.0,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
163441,Người thụ hưởng,DoiTuongApDung,content_clean,gemini,1.0,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
163441,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,DoiTuongApDung,content_clean,gemini,1.0,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm.
163441,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm,DoiTuongApDung,content_clean,gemini,1.0,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm.
163441,Phó Thủ tướng Chính phủ,ChucDanh,content_clean,gemini,1.0,Phó Thủ tướng Chính phủ
163441,Tài chính,Nganh,content_clean,gemini,0.9,Bộ trưởng Bộ Tài chính
146468,Chính phủ,CoQuan,content_clean,gemini,1.0,CHÍNH PHỦ
146468,Nguyễn Xuân Phúc,NguoiKy,content_clean,gemini,1.0,Nguyễn Xuân Phúc
146468,Chứng khoán,LinhVuc,content_clean,gemini,1.0,trong lĩnh vực chứng khoán và thị trường chứng khoán
146468,"Tổ chức, cá nhân Việt Nam",DoiTuongApDung,content_clean,gemini,1.0,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
146468,"Tổ chức, cá nhân nước ngoài",DoiTuongApDung,content_clean,gemini,1.0,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
146468,Công ty đại chúng,DoiTuongApDung,content_clean,gemini,1.0,a) Công ty đại chúng;
146468,Doanh nghiệp nhà nước,DoiTuongApDung,content_clean,gemini,1.0,"b) Doanh nghiệp nhà nước, công ty trách nhiệm hữu hạn một thành viên do doanh nghiệp nhà nước nắm giữ 100% vốn điều lệ, đơn vị sự nghiệp công lập cổ phần hóa dưới hình thức chào bán chứng khoán ra công chúng;"
146468,Tổ chức phát hành,DoiTuongApDung,content_clean,gemini,1.0,c) Tổ chức phát hành;
146468,"Tổ chức niêm yết, tổ chức đăng ký giao dịch",DoiTuongApDung,content_clean,gemini,1.0,"d) Tổ chức niêm yết, tổ chức đăng ký giao dịch; tổ chức tư vấn niêm yết, đăng ký giao dịch;"
146468,Tổ chức kiểm toán được chấp thuận,DoiTuongApDung,content_clean,gemini,1.0,đ) Tổ chức kiểm toán được chấp thuận;
146468,"Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán",DoiTuongApDung,content_clean,gemini,1.0,"g) Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán, chi nhánh, văn phòng đại diện công ty chứng khoán, công ty quản lý quỹ nước ngoài tại Việt Nam, công ty đầu tư chứng khoán;"
146468,Sở giao dịch chứng khoán Việt Nam,DoiTuongApDung,content_clean,gemini,1.0,"h) Sở giao dịch chứng khoán Việt Nam và công ty con, Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam;"
146468,Ngân hàng thương mại,DoiTuongApDung,content_clean,gemini,1.0,"k) Ngân hàng thương mại, chi nhánh ngân hàng nước ngoài tại Việt Nam thực hiện hoạt động lưu ký, bù trừ, thanh toán giao dịch chứng khoán; ngân hàng giám sát;"
146468,Thủ tướng,ChucDanh,content_clean,gemini,1.0,THỦ TƯỚNG
146468,Tài chính,Nganh,content_clean,gemini,0.9,Theo đề nghị của Bộ trưởng Bộ Tài chính.
168220,Ngân hàng Nhà nước Việt Nam,CoQuan,content_clean,gemini,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
168220,Đào Minh Tú,NguoiKy,content_clean,gemini,1.0,Đào Minh Tú
168220,"Thanh tra, giám sát ngân hàng",LinhVuc,content_clean,gemini,0.9,"Theo đề nghị của Chánh Thanh tra, giám sát ngân hàng;"
168220,Ngân hàng hợp tác xã,DoiTuongApDung,content_clean,gemini,1.0,1. Ngân hàng hợp tác xã.
168220,Quỹ tín dụng nhân dân,DoiTuongApDung,content_clean,gemini,1.0,2. Quỹ tín dụng nhân dân.
168220,"Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này",DoiTuongApDung,content_clean,gemini,1.0,"3. Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này."
168220,Phó Thống đốc,ChucDanh,content_clean,gemini,1.0,PHÓ THỐNG ĐỐC
168220,Ngân hàng,Nganh,content_clean,gemini,0.9,hoạt động trong lĩnh vực ngân hàng
133858,Chính phủ,CoQuan,content_clean,gemini,1.0,CHÍNH PHỦ
133858,Nguyễn Xuân Phúc,NguoiKy,content_clean,gemini,1.0,Nguyễn Xuân Phúc
133858,Kiểm toán nội bộ,LinhVuc,content_clean,gemini,0.9,"Nghị định này quy định về công tác kiểm toán nội bộ trong các cơ quan nhà nước, đơn vị sự nghiệp công lập và các doanh nghiệp."
133858,"Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ",DoiTuongApDung,content_clean,gemini,1.0,"a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ;"
133858,"Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương",DoiTuongApDung,content_clean,gemini,1.0,"b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương;"
133858,Các đơn vị sự nghiệp công lập,DoiTuongApDung,content_clean,gemini,1.0,c) Các đơn vị sự nghiệp công lập;
133858,Các doanh nghiệp,DoiTuongApDung,content_clean,gemini,1.0,d) Các doanh nghiệp;
133858,"Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ",DoiTuongApDung,content_clean,gemini,1.0,"đ) Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ."
133858,Thủ tướng Chính phủ,ChucDanh,content_clean,gemini,1.0,THỦ TƯỚNG CHÍNH PHỦ
133858,Kiểm toán,Nganh,content_clean,gemini,0.9,"Nghị định này quy định về công tác kiểm toán nội bộ trong các cơ quan nhà nước, đơn vị sự nghiệp công lập và các doanh nghiệp."
169221,Ngân hàng Nhà nước Việt Nam,CoQuan,content_clean,gemini,0.95,"NGÂN HÀNG NHÀ NƯỚC
VIỆT NAM"
169221,Phạm Thanh Hà,NguoiKy,content_clean,gemini,1.0,Phạm Thanh Hà
169221,Quản lý ngoại hối,LinhVuc,content_clean,gemini,0.9,hướng dẫn việc tổ chức thực hiện hoạt động quản lý dự trữ ngoại hối nhà nước
169221,Cục Quản lý dự trữ ngoại hối nhà nước,DoiTuongApDung,content_clean,gemini,0.95,Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước
169221,Chánh Văn phòng,DoiTuongApDung,content_clean,gemini,0.95,"Chánh Văn phòng, Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước và Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam chịu trách nhiệm tổ chức thực hiện Thông tư này."
169221,Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam,DoiTuongApDung,content_clean,gemini,0.95,"Chánh Văn phòng, Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước và Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam chịu trách nhiệm tổ chức thực hiện Thông tư này."
169221,Phó Thống đốc,ChucDanh,content_clean,gemini,1.0,PHÓ THỐNG ĐỐC (Đã ký)
169221,Ngân hàng,Nganh,content_clean,gemini,0.9,NGÂN HÀNG NHÀ NƯỚC
95652,Chính phủ,CoQuan,content_clean,gemini,1.0,CHÍNH PHỦ
95652,Nguyễn Tấn Dũng,NguoiKy,content_clean,gemini,1.0,Nguyễn Tấn Dũng
95652,Đầu tư,LinhVuc,content_clean,gemini,0.8,Q uy định về đầu tư gián tiếp ra nước ngoài
95652,Tổ chức kinh tế,DoiTuongApDung,content_clean,gemini,1.0,Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư
95652,Cá nhân có quốc tịch Việt Nam,DoiTuongApDung,content_clean,gemini,1.0,Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài.
95652,Các cơ quan quản lý nhà nước,DoiTuongApDung,content_clean,gemini,1.0,Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài theo quy định tại Nghị định này.
95652,"Các tổ chức, cá nhân khác có liên quan",DoiTuongApDung,content_clean,gemini,1.0,"Các tổ chức, cá nhân khác có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
95652,Thủ tướng Chính phủ,ChucDanh,content_clean,gemini,1.0,THỦ TƯỚNG CHÍNH PHỦ
95652,Ngân hàng,Nganh,content_clean,gemini,0.9,"Theo đề nghị của Thố ng đốc Ngân hàng Nhà nước Việt Nam,"
f69936f0-6937-11f1-a48d-29bc6b0fd706,Bộ Tài chính,CoQuan,content_clean,gemini,1.0,BỘ TÀI CHÍNH
f69936f0-6937-11f1-a48d-29bc6b0fd706,Nguyễn Đức Chi,NguoiKy,content_clean,gemini,1.0,Nguyễn Đức Chi
f69936f0-6937-11f1-a48d-29bc6b0fd706,Chứng khoán và thị trường chứng khoán,LinhVuc,content_clean,gemini,1.0,Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
f69936f0-6937-11f1-a48d-29bc6b0fd706,"Tổ chức, cá nhân Việt Nam",DoiTuongApDung,content_clean,gemini,1.0,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là Tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
f69936f0-6937-11f1-a48d-29bc6b0fd706,"Tổ chức, cá nhân nước ngoài",DoiTuongApDung,content_clean,gemini,1.0,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là Tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
f69936f0-6937-11f1-a48d-29bc6b0fd706,Công ty đại chúng,DoiTuongApDung,content_clean,gemini,1.0,a) Công ty đại chúng;
f69936f0-6937-11f1-a48d-29bc6b0fd706,Doanh nghiệp nhà nước,DoiTuongApDung,content_clean,gemini,1.0,"b) Doanh nghiệp nhà nước, công ty trách nhiệm hữu hạn một thành viên do doanh nghiệp nhà nước nắm giữ 100% vốn điều lệ, đơn vị sự nghiệp công lập cổ phần hóa dưới hình thức chào bán chứng khoán ra công chúng;"
f69936f0-6937-11f1-a48d-29bc6b0fd706,Tổ chức phát hành,DoiTuongApDung,content_clean,gemini,1.0,c) Tổ chức phát hành;
f69936f0-6937-11f1-a48d-29bc6b0fd706,"Tổ chức niêm yết, tổ chức đăng ký giao dịch",DoiTuongApDung,content_clean,gemini,1.0,"d) Tổ chức niêm yết, tổ chức đăng ký giao dịch; tổ chức tư vấn niêm yết, đăng ký giao dịch;"
f69936f0-6937-11f1-a48d-29bc6b0fd706,Tổ chức kiểm toán được chấp thuận,DoiTuongApDung,content_clean,gemini,1.0,đ) Tổ chức kiểm toán được chấp thuận;
f69936f0-6937-11f1-a48d-29bc6b0fd706,"Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán",DoiTuongApDung,content_clean,gemini,1.0,"g) Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán, chi nhánh, văn phòng đại diện công ty chứng khoán, công ty quản lý quỹ nước ngoài tại Việt Nam, công ty đầu tư chứng khoán;"
f69936f0-6937-11f1-a48d-29bc6b0fd706,Sở giao dịch chứng khoán Việt Nam và công ty con,DoiTuongApDung,content_clean,gemini,1.0,h) Sở giao dịch chứng khoán Việt Nam và công ty con; Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam và công ty con;
f69936f0-6937-11f1-a48d-29bc6b0fd706,"Ngân hàng thương mại, chi nhánh ngân hàng nước ngoài tại Việt Nam",DoiTuongApDung,content_clean,gemini,1.0,"k) Ngân hàng thương mại, chi nhánh ngân hàng nước ngoài tại Việt Nam thực hiện hoạt động lưu ký, bù trừ, thanh toán giao dịch chứng khoán, ngân hàng giám sát;"
f69936f0-6937-11f1-a48d-29bc6b0fd706,Thứ trưởng,ChucDanh,content_clean,gemini,1.0,THỨ TRƯỞNG
f69936f0-6937-11f1-a48d-29bc6b0fd706,Tài chính,Nganh,content_clean,gemini,0.9,BỘ TÀI CHÍNH
30402,Bộ Tài chính,CoQuan,content_clean,gemini,1.0,BỘ TÀI CHÍNH
30402,Trần Xuân Hà,NguoiKy,content_clean,gemini,1.0,Trần Xuân Hà
30402,Quản lý dịch vụ tài chính và các quỹ tài chính,LinhVuc,content_clean,gemini,0.8,"Hướng dẫn về đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán"
30402,"Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",DoiTuongApDung,content_clean,gemini,1.0,"1. Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam."
30402,"Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",DoiTuongApDung,content_clean,gemini,1.0,"2. Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam (sau đây gọi chung là doanh nghiệp kiểm toán)."
